player_a,player_b,winner
p0,p452,p0
p0,p604,p0
p0,p581,p0
p0,p386,p0
p0,p712,p712
p0,p187,p0
p0,p734,p734
p0,p682,p0
p0,p263,p0
p0,e977,e977
p0,p821,p821
p0,p206,p0
p0,e949,e949
p0,p490,p490
p1,p839,p839
p1,p889,p1
p1,p111,p111
p1,p780,p780
p1,p749,p749
p1,p273,p1
p1,b917,b917
p1,p489,p1
p1,p331,p1
p1,p708,p708
p1,p438,p1
p1,p831,p831
p1,p840,p840
p2,p40,p2
p2,b932,b932
p2,p9,p9
p2,p495,p495
p2,p863,p863
p2,p478,p2
p2,p234,p234
p2,p370,p2
p2,p596,p2
p3,p832,p832
p3,p829,p3
p3,p67,p3
p3,p244,p244
p3,p262,p3
p3,p499,p499
p3,p850,p3
p3,p371,p3
p3,p450,p450
p3,p147,p147
p3,e975,e975
p3,p887,p3
p4,p278,p278
p4,e947,e947
p4,b935,p4
p4,p724,p724
p4,p675,p675
p4,p100,p4
p4,p747,p4
p4,p865,p4
p4,p489,p489
p4,p100,p4
p4,p497,p4
p5,p626,p626
p5,p423,p423
p5,p126,p5
p5,p612,p5
p5,p423,p423
p5,p119,p119
p5,p688,p5
p5,p305,p305
p5,e953,p5
p6,p200,p6
p6,p658,p6
p6,p858,p6
p6,p502,p502
p6,p691,p691
p6,p423,p6
p6,p738,p738
p6,p509,p6
p6,p270,p270
p6,p385,p6
p6,p197,p197
p6,e965,p6
p6,p312,p312
p7,p743,p743
p7,p454,p454
p7,p152,p152
p7,p859,p7
p7,p157,p7
p7,p80,p7
p7,p514,p514
p7,p622,p7
p8,p446,p8
p8,p636,p8
p8,p387,p8
p8,p743,p743
p8,p510,p8
p8,p523,p8
p8,p312,p312
p8,p198,p198
p8,p115,p115
p8,p334,p334
p8,p405,p8
p8,p767,p8
p8,p277,p8
p8,p112,p8
p8,b908,p8
p9,p580,p9
p9,p432,p432
p9,p510,p9
p9,p587,p587
p9,p851,p851
p9,p307,p307
p9,p732,p732
p9,p484,p484
p9,p784,p9
p10,p17,p17
p10,p150,p10
p10,p8,p8
p10,p670,p10
p10,p53,p10
p10,p278,p10
p10,p259,p259
p10,p653,p10
p10,p96,p96
p10,p709,p709
p10,b902,b902
p10,p220,p220
p10,p689,p689
p10,p261,p261
p11,p244,p244
p11,p605,p605
